Industry,Female_Employee_Percentage,Male_Employee_Percentage
Technology,0.43,0.57
Technology,0.46,0.54
Technology,0.52,0.48
Technology,0.54,0.46
Technology,0.44,0.56
Technology,0.55,0.45
Technology,0.28,0.72
Technology,0.47,0.53
Technology,0.49,0.51
Technology,0.32,0.68
Technology,0.42,0.58
Technology,0.36,0.64
Technology,0.50,0.50
Technology,0.57,0.43
Technology,0.36,0.64
Technology,0.60,0.40
Technology,0.33,0.67
Technology,0.40,0.60
Technology,0.45,0.55
Technology,0.30,0.70
Technology,0.54,0.46
Technology,0.42,0.58
Technology,0.29,0.71
Technology,0.41,0.59
Technology,0.45,0.55
Technology,0.57,0.43
Technology,0.47,0.53
Technology,0.52,0.48
Technology,0.33,0.67
Technology,0.62,0.38
Technology,0.38,0.62
Technology,0.29,0.71
Technology,0.31,0.69
Technology,0.40,0.60
Technology,0.68,0.32
Technology,0.41,0.59
Technology,0.61,0.39
Technology,0.48,0.52
Technology,0.42,0.58
Technology,0.59,0.41
Technology,0.39,0.61
Technology,0.35,0.65
Technology,0.54,0.46
Technology,0.36,0.64
Technology,0.40,0.60
Technology,0.47,0.53
Technology,0.40,0.60
Technology,0.41,0.59
Technology,0.35,0.65
Technology,0.38,0.62
Technology,0.49,0.51
Technology,0.46,0.54
Technology,0.32,0.68
Technology,0.40,0.60
Technology,0.41,0.59
Technology,0.49,0.51
Technology,0.34,0.66
Technology,0.59,0.41
Technology,0.41,0.59
Technology,0.21,0.79
Technology,0.47,0.53
Technology,0.61,0.39
Technology,0.32,0.68
Technology,0.33,0.67
Technology,0.49,0.51
Technology,0.50,0.50
Technology,0.58,0.42
Technology,0.38,0.62
Technology,0.64,0.36
Technology,0.39,0.61
Technology,0.55,0.45
Technology,0.31,0.69
Technology,0.40,0.60
Technology,0.37,0.63
Technology,0.35,0.65
Technology,0.49,0.51
Technology,0.71,0.29
Technology,0.39,0.61
Technology,0.42,0.58
Technology,0.35,0.65
Technology,0.72,0.28
Technology,0.55,0.45
Technology,0.55,0.45
Technology,0.36,0.64
Technology,0.36,0.64
Technology,0.42,0.58
Technology,0.22,0.78
Technology,0.39,0.61
Technology,0.35,0.65
Technology,0.47,0.53
Technology,0.29,0.71
Technology,0.33,0.67
Technology,0.41,0.59
Technology,0.23,0.77
Technology,0.44,0.56
Technology,0.35,0.65
Technology,0.31,0.69
Technology,0.37,0.63
Technology,0.36,0.64
Technology,0.30,0.70
Technology,0.46,0.54
Technology,0.40,0.60
Technology,0.38,0.62
Technology,0.35,0.65
Technology,0.26,0.74
Technology,0.46,0.54
Technology,0.35,0.65
Technology,0.32,0.68
Technology,0.30,0.70
Technology,0.32,0.68
Technology,0.35,0.65
Technology,0.27,0.73
Technology,0.26,0.74
Technology,0.35,0.65
Technology,0.46,0.54
Technology,0.35,0.65
Technology,0.44,0.56
Technology,0.39,0.61
Technology,0.39,0.61
Technology,0.33,0.67
Technology,0.28,0.72
Technology,0.27,0.73
Technology,0.31,0.69
Technology,0.34,0.66
Technology,0.33,0.67
Technology,0.27,0.73
Technology,0.32,0.68
Technology,0.20,0.80
Technology,0.39,0.61
Technology,0.43,0.57
Technology,0.34,0.66
Technology,0.31,0.69
Technology,0.26,0.74
Technology,0.31,0.69
Technology,0.38,0.62
Technology,0.38,0.62
Technology,0.41,0.59
Technology,0.40,0.60
Technology,0.41,0.59
Technology,0.33,0.67
Technology,0.25,0.75
Technology,0.36,0.64
Technology,0.38,0.62
Technology,0.34,0.66
Technology,0.25,0.75
Technology,0.36,0.64
Technology,0.28,0.72
Technology,0.43,0.57
Technology,0.51,0.49
Technology,0.22,0.78
Technology,0.39,0.61
Technology,0.35,0.65
Technology,0.43,0.57
Technology,0.38,0.62
Technology,0.19,0.81
Technology,0.45,0.55
Technology,0.30,0.70
Technology,0.30,0.70
Technology,0.45,0.55
Technology,0.27,0.73
Technology,0.30,0.70
Technology,0.41,0.59
Technology,0.34,0.66
Technology,0.41,0.59
Technology,0.44,0.56
Technology,0.37,0.63
Technology,0.38,0.62
Technology,0.29,0.71
Technology,0.45,0.55
Technology,0.37,0.63
Technology,0.34,0.66
Technology,0.33,0.67
Technology,0.29,0.71
Telecommunications,0.36,0.64
Telecommunications,0.29,0.71
Telecommunications,0.33,0.67
Telecommunications,0.37,0.63
Telecommunications,0.37,0.63
Telecommunications,0.34,0.66
Telecommunications,0.51,0.49
Telecommunications,0.28,0.72
Telecommunications,0.50,0.50
Telecommunications,0.36,0.64
Telecommunications,0.36,0.64
Telecommunications,0.36,0.64
Telecommunications,0.41,0.59
Telecommunications,0.31,0.69
Telecommunications,0.43,0.57
Telecommunications,0.47,0.53
Telecommunications,0.40,0.60
Telecommunications,0.45,0.55
Telecommunications,0.37,0.63
Telecommunications,0.47,0.53
Telecommunications,0.44,0.56
Telecommunications,0.47,0.53
Telecommunications,0.39,0.61
Telecommunications,0.38,0.62
Telecommunications,0.28,0.72
Telecommunications,0.57,0.43
Telecommunications,0.45,0.55
Telecommunications,0.28,0.72
Telecommunications,0.35,0.65
Telecommunications,0.35,0.65
Telecommunications,0.33,0.67
Telecommunications,0.28,0.72
Telecommunications,0.23,0.77
Telecommunications,0.42,0.58
Telecommunications,0.43,0.57
Telecommunications,0.35,0.65
Telecommunications,0.34,0.66
Telecommunications,0.39,0.61
Telecommunications,0.30,0.70
Telecommunications,0.25,0.75
Telecommunications,0.38,0.62
Telecommunications,0.31,0.69
Telecommunications,0.53,0.47
Telecommunications,0.29,0.71
Telecommunications,0.36,0.64
Telecommunications,0.22,0.78
Telecommunications,0.31,0.69
Telecommunications,0.26,0.74
Telecommunications,0.38,0.62
Telecommunications,0.30,0.70
Telecommunications,0.27,0.73
Telecommunications,0.26,0.74
Telecommunications,0.43,0.57
Telecommunications,0.40,0.60
Telecommunications,0.42,0.58
Telecommunications,0.17,0.83
Telecommunications,0.37,0.63
Telecommunications,0.34,0.66
Telecommunications,0.40,0.60
Telecommunications,0.40,0.60
Telecommunications,0.26,0.74
Telecommunications,0.40,0.60
Telecommunications,0.34,0.66
Telecommunications,0.49,0.51
Telecommunications,0.31,0.69
Telecommunications,0.36,0.64
Telecommunications,0.48,0.52
Telecommunications,0.26,0.74
Telecommunications,0.28,0.72
Telecommunications,0.38,0.62
Telecommunications,0.27,0.73
Telecommunications,0.33,0.67
Telecommunications,0.50,0.50
Telecommunications,0.27,0.73
Telecommunications,0.32,0.68
Telecommunications,0.29,0.71
Telecommunications,0.46,0.54
Telecommunications,0.28,0.72
Telecommunications,0.41,0.59
Telecommunications,0.28,0.72
Telecommunications,0.16,0.84
Telecommunications,0.46,0.54
Telecommunications,0.37,0.63
Telecommunications,0.40,0.60
Telecommunications,0.30,0.70
Telecommunications,0.67,0.33
Telecommunications,0.36,0.64
Telecommunications,0.39,0.61
Telecommunications,0.30,0.70
Telecommunications,0.34,0.66
Transportation,0.32,0.68
Transportation,0.35,0.65
Transportation,0.31,0.69
Transportation,0.32,0.68
Transportation,0.38,0.62
Transportation,0.21,0.79
Transportation,0.34,0.66
Transportation,0.16,0.84
Transportation,0.35,0.65
Transportation,0.35,0.65
Transportation,0.36,0.64
Transportation,0.16,0.84
Transportation,0.37,0.63
Transportation,0.40,0.60
Transportation,0.41,0.59
Transportation,0.36,0.64
Transportation,0.14,0.86
Transportation,0.30,0.70
Transportation,0.26,0.74
Transportation,0.27,0.73
Transportation,0.29,0.71
Transportation,0.37,0.63
Transportation,0.51,0.49
Transportation,0.44,0.56
Transportation,0.50,0.50
Transportation,0.17,0.83
Transportation,0.14,0.86
Transportation,0.47,0.53
Transportation,0.30,0.70
Transportation,0.32,0.68
Transportation,0.44,0.56
Transportation,0.17,0.83
Transportation,0.14,0.86
Transportation,0.44,0.56
Transportation,0.40,0.60
Transportation,0.14,0.86
Transportation,0.30,0.70
Transportation,0.31,0.69
Transportation,0.12,0.88
Transportation,0.51,0.49
Transportation,0.32,0.68
Transportation,0.31,0.69
Transportation,0.30,0.70
Transportation,0.30,0.70
Transportation,0.53,0.47
Transportation,0.20,0.80
Transportation,0.39,0.61
Transportation,0.44,0.56
Transportation,0.14,0.86
Transportation,0.52,0.48
Transportation,0.48,0.52
Transportation,0.45,0.55
Transportation,0.23,0.77
Transportation,0.44,0.56
Transportation,0.27,0.73
Transportation,0.42,0.58
Transportation,0.17,0.83
Transportation,0.46,0.54
Transportation,0.28,0.72
Transportation,0.50,0.50
Transportation,0.20,0.80
Transportation,0.45,0.55
Transportation,0.12,0.88
Transportation,0.23,0.77
Transportation,0.17,0.83
Transportation,0.18,0.82
Transportation,0.37,0.63
Transportation,0.38,0.62
Transportation,0.53,0.47
Transportation,0.40,0.60
Transportation,0.29,0.71
Transportation,0.17,0.83
Transportation,0.41,0.59
Transportation,0.23,0.77
Transportation,0.36,0.64
Transportation,0.34,0.66
Transportation,0.27,0.73
Transportation,0.52,0.48
Transportation,0.47,0.53
Transportation,0.24,0.76
Transportation,0.28,0.72
Transportation,0.34,0.66
Transportation,0.16,0.84
Transportation,0.18,0.82
Transportation,0.16,0.84
Transportation,0.56,0.44
Transportation,0.28,0.72
Transportation,0.15,0.85
Transportation,0.38,0.62
Transportation,0.26,0.74
